model,modelId,task,arm,rep,status,oraclePassed,oracleTotal,oracleRate,typecheckOk,wroteTests,adequacyProbed,adequacyScore,adequacyDiscriminant,costUsd,source,binaryTag,gitSha,date,modelIds,note
opus,claude-opus-4-8,token-bucket,E,1,ok,9,9,1,true,true,true,1,probed,0.56121625,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
opus,claude-opus-4-8,token-bucket,E,2,ok,9,9,1,true,true,true,1,probed,0.4035555,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
opus,claude-opus-4-8,token-bucket,N,1,ok,9,9,1,true,true,true,1,probed,0.411635,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
opus,claude-opus-4-8,token-bucket,N,2,ok,9,9,1,true,true,true,1,probed,0.31422300000000003,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
opus,claude-opus-4-8,parse-duration,E,1,ok,19,21,0.9048,true,true,true,1,probed,0.21155374999999998,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
opus,claude-opus-4-8,parse-duration,E,2,ok,19,21,0.9048,true,true,true,1,probed,0.0960435,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
opus,claude-opus-4-8,parse-duration,N,1,ok,19,21,0.9048,true,true,true,1,probed,0.22436625000000002,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
opus,claude-opus-4-8,parse-duration,N,2,ok,19,21,0.9048,true,true,true,1,probed,0.1310645,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
opus,claude-opus-4-8,csv-line,E,1,ok,18,21,0.8571,true,true,true,1,probed,0.2525225,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
opus,claude-opus-4-8,csv-line,E,2,ok,18,21,0.8571,true,true,true,1,probed,0.156228,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
opus,claude-opus-4-8,csv-line,N,1,ok,18,21,0.8571,true,true,true,1,probed,0.25634124999999996,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
opus,claude-opus-4-8,csv-line,N,2,ok,18,21,0.8571,true,true,true,1,probed,0.1659455,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
sonnet,claude-sonnet-5,token-bucket,E,1,ok,9,9,1,true,true,true,1,probed,0.27879975,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
sonnet,claude-sonnet-5,token-bucket,E,2,ok,9,9,1,true,true,true,1,probed,0.2276133,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
sonnet,claude-sonnet-5,token-bucket,N,1,ok,9,9,1,true,true,true,1,probed,0.280566,measured,v2.12.0-preview.1,e96bafa667a1a78bfddf8c863e1ef3df2ff2789c,2026-07-09,claude-opus-4-8|claude-sonnet-5,
