# benchmark: gate-catch-rate (#1675 DR-3) — mechanical-gate catch rate + cost columns
# source: measured
# binaryTag: v2.12.0-preview.2
# gitSha: f966f5b84463ed36cecf374a191827b7d20a1d12
# modelIds: none
# date: 2026-07-10
# note: model-free — the mechanical gates are deterministic (no LLM); modelIds=[none] satisfies the provenance non-empty invariant. wallClockMs is a machine-dependent snapshot; payloadTokens = ceil(payloadChars/4).
gateClass,fixtureId,kind,gate,expectedVerdict,verdict,correct,riskTier,boundaryTouching,wallClockMs,payloadChars,payloadTokens,oracleDetected,note
test-adequacy,test-adequacy/defect-01,defect,check_test_adequacy,fail,fail,true,medium,false,117.58,92,23,,
test-adequacy,test-adequacy/defect-02,defect,check_test_adequacy,fail,fail,true,medium,false,150.56,92,23,,
test-adequacy,test-adequacy/defect-03,defect,check_test_adequacy,fail,fail,true,medium,false,158.04,92,23,,
test-adequacy,test-adequacy/defect-04,defect,check_test_adequacy,fail,fail,true,medium,false,113.86,92,23,,
test-adequacy,test-adequacy/defect-05,defect,check_test_adequacy,fail,fail,true,medium,false,138.51,92,23,,
test-adequacy,test-adequacy/control-01,control,check_test_adequacy,pass,pass,true,medium,false,105.75,90,23,,
test-adequacy,test-adequacy/control-02,control,check_test_adequacy,pass,pass,true,medium,false,118.72,90,23,,
test-adequacy,test-adequacy/control-03,control,check_test_adequacy,pass,pass,true,medium,false,112.02,90,23,,
test-adequacy,test-adequacy/control-04,control,check_test_adequacy,pass,pass,true,medium,false,173.26,90,23,,
test-adequacy,test-adequacy/control-05,control,check_test_adequacy,pass,pass,true,medium,false,128.72,90,23,,
contract-drift,contract-drift/defect-01,defect,check_contract_drift,fail,fail,true,high,true,41.75,208,52,,
contract-drift,contract-drift/defect-02,defect,check_contract_drift,fail,fail,true,high,true,31.4,207,52,,
contract-drift,contract-drift/defect-03,defect,check_contract_drift,fail,fail,true,high,true,22.81,218,55,,
contract-drift,contract-drift/defect-04,defect,check_contract_drift,fail,fail,true,high,true,15.35,204,51,,
contract-drift,contract-drift/defect-05,defect,check_contract_drift,fail,fail,true,high,true,17.14,251,63,,
contract-drift,contract-drift/control-01,control,check_contract_drift,pass,pass,true,high,true,16.45,293,74,,
contract-drift,contract-drift/control-02,control,check_contract_drift,pass,pass,true,high,true,27.57,293,74,,
contract-drift,contract-drift/control-03,control,check_contract_drift,pass,pass,true,high,true,18.03,293,74,,
contract-drift,contract-drift/control-04,control,check_contract_drift,pass,pass,true,high,true,19.26,293,74,,
contract-drift,contract-drift/control-05,control,check_contract_drift,pass,pass,true,high,true,16.89,293,74,,
mock-boundary,mock-boundary/defect-01,defect,check_mock_boundary,fail,fail,true,medium,true,2.68,503,126,,findings=1
mock-boundary,mock-boundary/defect-02,defect,check_mock_boundary,fail,fail,true,medium,true,6.29,513,129,,findings=1
mock-boundary,mock-boundary/defect-03,defect,check_mock_boundary,fail,fail,true,medium,true,6.82,525,132,,findings=1
mock-boundary,mock-boundary/defect-04,defect,check_mock_boundary,fail,fail,true,medium,true,16.02,566,142,,findings=1
mock-boundary,mock-boundary/defect-05,defect,check_mock_boundary,fail,fail,true,medium,true,17.14,384,96,,findings=1
mock-boundary,mock-boundary/control-01,control,check_mock_boundary,pass,pass,true,medium,true,15.69,50,13,,findings=0
mock-boundary,mock-boundary/control-02,control,check_mock_boundary,pass,pass,true,medium,true,15.43,50,13,,findings=0
mock-boundary,mock-boundary/control-03,control,check_mock_boundary,pass,pass,true,medium,true,15.9,50,13,,findings=0
mock-boundary,mock-boundary/control-04,control,check_mock_boundary,pass,pass,true,medium,true,16.59,50,13,,findings=0
mock-boundary,mock-boundary/control-05,control,check_mock_boundary,pass,pass,true,medium,true,14.6,50,13,,findings=0
static-analysis,static-analysis/defect-01,defect,check_static_analysis,fail,fail,true,medium,false,76.65,601,151,,
static-analysis,static-analysis/defect-02,defect,check_static_analysis,fail,fail,true,medium,false,81.82,591,148,,
static-analysis,static-analysis/defect-03,defect,check_static_analysis,fail,fail,true,medium,false,94.71,573,144,,
static-analysis,static-analysis/defect-04,defect,check_static_analysis,fail,fail,true,medium,false,84.39,586,147,,
static-analysis,static-analysis/defect-05,defect,check_static_analysis,fail,fail,true,medium,false,84.07,591,148,,
static-analysis,static-analysis/control-01,control,check_static_analysis,pass,pass,true,medium,false,77.06,360,90,,
static-analysis,static-analysis/control-02,control,check_static_analysis,pass,pass,true,medium,false,78.71,360,90,,
static-analysis,static-analysis/control-03,control,check_static_analysis,pass,pass,true,medium,false,68.3,360,90,,
static-analysis,static-analysis/control-04,control,check_static_analysis,pass,pass,true,medium,false,70.63,360,90,,
static-analysis,static-analysis/control-05,control,check_static_analysis,pass,pass,true,medium,false,65.56,360,90,,
integration-suite,integration-suite/defect-01,defect,check_integration_suite,fail,fail,true,high,false,90.66,367,92,,
integration-suite,integration-suite/defect-02,defect,check_integration_suite,fail,fail,true,high,false,81.65,474,119,,
integration-suite,integration-suite/defect-03,defect,check_integration_suite,fail,fail,true,high,false,62.49,367,92,,
integration-suite,integration-suite/defect-04,defect,check_integration_suite,fail,fail,true,high,false,90.64,419,105,,
integration-suite,integration-suite/defect-05,defect,check_integration_suite,fail,fail,true,high,false,79.52,369,93,,
integration-suite,integration-suite/control-01,control,check_integration_suite,pass,pass,true,high,false,70,365,92,,
integration-suite,integration-suite/control-02,control,check_integration_suite,pass,pass,true,high,false,78.13,365,92,,
integration-suite,integration-suite/control-03,control,check_integration_suite,pass,pass,true,high,false,87.6,362,91,,
integration-suite,integration-suite/control-04,control,check_integration_suite,pass,pass,true,high,false,92.52,368,92,,
integration-suite,integration-suite/control-05,control,check_integration_suite,pass,pass,true,high,false,84.18,365,92,,
dropped-edge-case,dropped-edge-case/defect-01,defect,none,ungated,ungated,,medium,false,18.67,0,0,true,ungated
dropped-edge-case,dropped-edge-case/defect-02,defect,none,ungated,ungated,,medium,false,25.46,0,0,true,ungated
dropped-edge-case,dropped-edge-case/defect-03,defect,none,ungated,ungated,,medium,false,16.02,0,0,true,ungated
dropped-edge-case,dropped-edge-case/defect-04,defect,none,ungated,ungated,,medium,false,17.73,0,0,true,ungated
dropped-edge-case,dropped-edge-case/defect-05,defect,none,ungated,ungated,,medium,false,26.53,0,0,true,ungated
dropped-edge-case,dropped-edge-case/control-01,control,none,ungated,ungated,,medium,false,27.75,0,0,false,ungated
dropped-edge-case,dropped-edge-case/control-02,control,none,ungated,ungated,,medium,false,24.92,0,0,false,ungated
dropped-edge-case,dropped-edge-case/control-03,control,none,ungated,ungated,,medium,false,13.71,0,0,false,ungated
dropped-edge-case,dropped-edge-case/control-04,control,none,ungated,ungated,,medium,false,14.91,0,0,false,ungated
dropped-edge-case,dropped-edge-case/control-05,control,none,ungated,ungated,,medium,false,15.55,0,0,false,ungated
